perturbation,detectable,identifiable,jointly_evaluable,separation,spread
"A1CF",False,False,False,1384.04,11514.2
"ABCA9",False,False,False,-2085.48,5176.09
"ABCB8",False,False,False,-708.779,8432.61
"ABCC4",False,False,False,-424.293,11532.3
"ABHD15",False,False,False,545.061,11682.8
"ABHD17A",False,False,False,1308.5,17190.7
"ABHD2",False,False,False,-2572.67,3360.13
"ABLIM2",False,False,False,-420.42,16554.1
"ABO",False,False,False,-2288.44,6711.78
"ACAP1",False,False,False,-1075.04,10165.6
"ACCSL",False,False,False,3331.94,14345.4
"ACE",False,False,False,3420.19,21495.8
"ACER2",False,False,False,5162.01,29000.4
"ACOT11",False,False,False,-540.343,9007.96
"ACP5",False,False,False,-1346.27,10683.4
"ACSL5",False,False,False,-2033.47,4932.33
"ACTN2",False,False,False,216.51,8477.78
"ACTR1A",False,False,False,-93.1895,8127.5
"ACTR5",False,False,False,4168.19,17528.3
"ACTRT1",False,False,False,1534.17,16240.9
"ACYP1",False,False,False,-2819.37,4729.21
"ACYP2",False,False,False,-553.205,7034.04
"ADA",False,False,False,1479.46,14025.7
"ADAD2",False,False,False,401.443,6167.28
"ADAMTS2",False,False,False,-1594.64,8313.96
"ADCK1",False,False,False,-1605.21,8795.66
"ADGRF3",False,False,False,926.978,16787.4
"ADH6",False,False,False,-1902.44,7255.36
"AFTPH",False,False,False,-126.1,11651.7
"AGAP3",False,False,False,1148.35,15523.4
"AGBL5",False,False,False,995.888,18089.9
"AGL",False,False,False,100.545,9775.48
"AHCYL1",False,False,False,-558.121,8306.91
"AIMP2",False,False,False,3194.83,14510.5
"AIPL1",False,False,False,239.242,10495.1
"AKAP10",False,False,False,40.8538,13831.3
"AKAP17A",False,False,False,1704,15062.1
"AKR1C3",False,False,False,1286.15,7404.23
"ALG9",False,False,False,3796.45,18441.7
"ALK",False,False,False,2031.32,15840.8
"ALKBH6",False,False,False,388.789,14659.4
"ALPK3",False,False,False,3356.61,23622.6
"AMER2",False,False,False,457.96,13455.7
"AMPH",False,False,False,-678.249,8172.31
"ANAPC16",False,False,False,-2445.72,9715.43
"ANGPTL4",False,False,False,-451.221,11028.3
"ANGPTL7",False,False,False,587.446,11368.7
"ANK2",False,False,False,2521.84,12869.5
"ANKRA2",False,False,False,-564.073,5790.4
"ANKRD13C",False,False,False,-409.69,8714.58
"ANKS1A",False,False,False,-1354.91,9216.27
"ANKS1B",False,False,False,2684.62,10864.9
"ANKS4B",False,False,False,287.61,8373.62
"ANP32E",False,False,False,-787.902,8299.4
"ANPEP",False,False,False,317.108,10653.6
"ANTXR1",False,False,False,2579.83,12198.6
"AOC1",False,False,False,3068.78,17029.2
"AOC3",False,False,False,-2276.19,4091.43
"AP1M1",False,False,False,-2398.22,7198.93
"APOBR",False,False,False,1301.52,13840.9
"AQP3",False,False,False,4144.36,21573.2
"ARAP1",False,False,False,-169.17,7896.04
"ARC",False,False,False,-1117.82,5457.86
"ARFGAP2",False,False,False,873.459,13255.7
"ARHGAP18",False,False,False,-1212.69,9799.79
"ARHGAP21",False,False,False,1214.13,16094.2
"ARHGAP35",False,False,False,523.882,7123.74
"ARHGEF16",False,False,False,1584.18,8438.78
"ARHGEF2",False,False,False,3013.05,19540
"ARL1",False,False,False,-910.124,5884.25
"ARL16",False,False,False,-1059.45,8897.93
"ARL6IP4",False,False,False,2936.69,18884.2
"ARMCX6",False,False,False,-1011.96,6086.01
"ARPC1A",False,False,False,-374.47,6431.19
"ARPC3",False,False,False,-3003.3,3177.83
"ARSG",False,False,False,1386.65,15413.5
"ASB1",False,False,False,587.119,10998.6
"ASB9",False,False,False,1406.9,12966.7
"ASCL3",False,False,False,-1523.2,14940.3
"ASH2L",False,False,False,-2311.66,7063.82
"ASIP",False,False,False,-1352.78,14563.4
"ATE1",False,False,False,3143.22,21483
"ATF3",False,False,False,-2327.82,5460.45
"ATF4",False,False,False,181.944,7939.14
"ATF7IP",False,False,False,-422.741,14851.1
"ATG101",False,False,False,1200.96,21194.2
"ATG7",False,False,False,279.473,8043.59
"ATOH8",False,False,False,-757.801,10275.6
"ATP13A4",False,False,False,-2321.06,3788.5
"ATP1A2",False,False,False,1527.59,15000.4
"ATP2A1",False,False,False,-846.749,6568.41
"ATP2B3",False,False,False,-1529.98,9246.37
"ATP5MC1",False,False,False,-787.356,9313.54
"ATP5MC3",False,False,False,2584.51,26917.6
"ATP5ME",False,False,False,5645.72,18703.2
"ATXN2",False,False,False,6966.01,20951.1
"ATXN7L1",False,False,False,-961.814,13400.4
"ATXN7L2",False,False,False,-1237.94,11422
"AURKC",False,False,False,-1298.25,7421.22
"B2M",False,False,False,1224.45,13385.4
"B3GNT3",False,False,False,-291.766,9032.84
"B4GALNT3",False,False,False,-934.021,5842.23
"BAAT",False,False,False,46.7541,10339.2
"BABAM1",False,False,False,-2047.69,6268.83
"BACE1",False,False,False,-2598.94,9026.02
"BAZ1A",False,False,False,170.096,16357.3
"BBOX1",False,False,False,-25.8149,9621.73
"BCHE",False,False,False,845.199,13386.5
"BCL10",False,False,False,2329.68,16375.8
"BCL2L12",False,False,False,1351.7,15773.3
"BCL9L",False,False,False,-466.479,10964.7
"BCS1L",False,False,False,1265.87,10861
"BET1",False,False,False,-1167.23,6633.11
"BFSP1",False,False,False,3222.07,17752.6
"BMP4",False,False,False,-2573.63,5983.65
"BORCS5",False,False,False,1846.28,9452.63
"BPIFA1",False,False,False,535.482,10077.3
"BRF2",False,False,False,7322.23,27003.7
"BRICD5",False,False,False,-1636.52,4205.06
"BRINP3",False,False,False,3575.59,20235.6
"BRIP1",False,False,False,-1391.39,9088.22
"BSX",False,False,False,1524.84,21607.6
"BTN2A2",False,False,False,-2605.25,4329.79
"C12orf40",False,False,False,-2340.84,5959.04
"C12orf71",False,False,False,-841.27,6370.31
"C14orf93",True,False,False,242.323,12317.3
"C17orf80",False,False,False,3491.61,13632.8
"C19orf18",False,False,False,-1924.22,3613.84
"C19orf38",False,False,False,250.212,9135.21
"C1QTNF6",False,False,False,1631,12412.8
"C1QTNF7",False,False,False,1509.25,13405.8
"C2orf74",False,False,False,-40.5443,9446.77
"C2orf78",False,False,False,-398.263,7791.87
"C4orf36",False,False,False,-1737.37,6628.3
"C5",False,False,False,-1315.66,8947.59
"C5orf24",False,False,False,-136.777,10073.4
"C5orf64",False,False,False,452.565,10973.9
"C9orf152",False,False,False,-309.201,7901.31
"CA4",False,False,False,-1289.4,6876.12
"CA6",False,False,False,1086.51,9353.03
"CACNA1D",False,False,False,-922.313,7782.16
"CACNA1S",False,False,False,1953.01,10883.9
"CACNA2D1",False,False,False,4733.6,13948.2
"CACNG4",False,False,False,1144.04,11309.7
"CACNG7",False,False,False,3258.89,28694
"CALCA",False,False,False,-561.027,8607.25
"CALHM6",False,False,False,-450.913,7518.28
"CALY",False,False,False,-24.5294,12510.9
"CAMTA2",False,False,False,1892.62,14949.2
"CAPN1",False,False,False,-1997.42,7410.42
"CAPN13",False,False,False,175.476,14594.7
"CARD6",False,False,False,90.6737,13917
"CARM1",False,False,False,-1166.41,6836.39
"CASC3",False,False,False,1392.05,10485.9
"CASP14",False,False,False,728.117,10897
"CASP8",False,False,False,2312.37,13336.1
"CAT",False,False,False,-1713.92,5923
"CAVIN2",False,False,False,280.406,10364.8
"CCDC106",False,False,False,1120.09,11021.1
"CCDC121",False,False,False,297.777,14010.1
"CCDC134",False,False,False,-1172.37,5511.56
"CCDC137",False,False,False,1.67167,10838.3
"CCDC138",False,False,False,1060.73,12206.9
"CCDC144NL",False,False,False,-2720.32,4840.98
"CCDC153",False,False,False,-257.5,9020.45
"CCDC154",False,False,False,3848.91,13511.3
"CCDC175",False,False,False,384.724,9122.89
"CCDC186",False,False,False,2484.99,13834.6
"CCDC34",False,False,False,1460.2,17069.8
"CCDC8",False,False,False,-380.659,6197.84
"CCDC82",False,False,False,-33.5107,8294.52
"CCDC85C",False,False,False,445.476,6860.72
"CCDC88A",False,False,False,401.761,18080.1
"CCDC89",False,False,False,1827.14,15640.7
"CCDC93",False,False,False,2614.86,17105
"CCL7",False,False,False,446.055,12978.3
"CCM2",False,False,False,476.127,14494
"CCPG1",False,False,False,368.173,8850.61
"CD200R1",False,False,False,653.737,13637.6
"CD24",False,False,False,3911.3,11384.5
"CD300LF",False,False,False,2170.34,14434.5
"CD300LG",False,False,False,-882.468,8878.31
"CD5",False,False,False,750.968,13567.8
"CD6",False,False,False,-1198.68,9237.81
"CD81",False,False,False,3893.6,24796.5
"CD93",False,False,False,1226.58,14048.6
"CDC14A",False,False,False,554.205,20076.9
"CDH13",False,False,False,-1174.84,8489.6
"CDH6",False,False,False,-848.273,11210.8
"CDIN1",False,False,False,-1754.01,5317.59
"CDK11A",False,False,False,-941.818,10884.8
"CDK2AP2",False,False,False,-141.63,6545.57
"CEACAM6",False,False,False,1444.19,10509.8
"CELA3A",False,False,False,261.331,9908.32
"CELF5",False,False,False,900.108,8773.95
"CENPF",False,False,False,-1023.82,9688.03
"CEP43",False,False,False,-831.911,9695.63
"CERK",False,False,False,1935.24,24189.4
"CFAP20",False,False,False,5606.93,17238.7
"CFAP206",False,False,False,808.703,13399.7
"CFAP47",False,False,False,2334.63,16459.8
"CFAP52",False,False,False,2077.69,32804.5
"CFAP58",False,False,False,818.308,10963.2
"CGAS",False,False,False,142.739,7609.44
"CHCHD1",False,False,False,164.847,7760.2
"CHCHD4",False,False,False,-373.816,3906.17
"CHD3",False,False,False,1518.87,13901.6
"CHD8",False,False,False,-71.5881,10728.1
"CHRD",False,False,False,-881.983,11893.1
"CHRNA5",False,False,False,4500.36,26617
"CHST11",False,False,False,1459.54,11093.3
"CHTOP",False,False,False,10407.8,15882.1
"CIB2",False,False,False,-323.094,11391.3
"CIB3",False,False,False,-1099.91,10686.5
"CIDEB",False,False,False,229.904,7731.09
"CIDEC",False,False,False,-876.835,9085.67
"CIPC",False,False,False,-1894.5,8517.97
"CIRBP",False,False,False,878.232,4216.43
"CIT",False,False,False,5246.21,20387.7
"CITED1",False,False,False,2948.33,13666.8
"CKM",False,False,False,-2164.39,5271.12
"CKMT1A",False,False,False,-851.046,11297.4
"CKS2",False,False,False,2473.6,14730.9
"CLCN4",False,False,False,73.1455,10660.2
"CLDN16",False,False,False,1567.63,11486
"CLDN25",False,False,False,-599.642,10844
"CLDN4",False,False,False,-883.527,6260.67
"CLEC2D",False,False,False,-555.142,10147
"CLIC1",False,False,False,-235.588,10626.3
"CLIP2",False,False,False,2895.46,6636.49
"CLK4",False,False,False,359.381,8429.42
"CLPSL2",False,False,False,233.131,8126.81
"CLSTN1",False,False,False,-1191.08,13015.5
"CLSTN3",False,False,False,8286.49,31119.2
"CMKLR1",False,False,False,4748.96,37150.2
"CMKLR2",False,False,False,-1876.46,6830.76
